Character   Count
=================

the         :1507x
mad.'       :   3x
solemn      :   3x
Oh,         :   3x
Tell        :   3x
wonder?'    :   3x
me,         :   3x
AND         :   3x
arches      :   3x
Duchess.    :   3x
`we         :   3x
youth,'     :   3x
do!'        :   3x
gone,       :   3x
important   :   3x
evidence    :   3x
to,         :   3x
lived       :   3x
cook.       :   3x
`in         :   3x
breath,     :   3x
tears,      :   3x
verdict,'   :   3x
TO          :   3x
tail,       :   3x
somebody    :   3x
way.        :   3x
finger      :   3x
howling     :   3x
said:       :   3x
THIS        :   3x
often       :   3x
ear.        :   3x
doing       :   3x
reply.      :   3x
tails       :   3x
angrily.    :   3x
like,'      :   3x
middle,     :   3x
frowning    :   3x
out-of-the-way:   3x
handed      :   3x
said--'     :   3x
timid       :   3x
`When       :   3x
hearing     :   3x
suppressed  :   3x
repeating   :   3x
answered    :   3x
`Is         :   3x
children,   :   3x
mouse       :   3x
`because    :   3x
late        :   3x
Where       :   3x
in?'        :   3x
caught      :   3x
oh,         :   3x
guessed     :   3x
dear!'      :   3x
dish        :   3x
vanished    :   3x
little,     :   3x
table.      :   3x
staring     :   3x
notion      :   3x
shrill      :   3x
Dormouse.   :   3x
think--'    :   3x
down,'      :   3x
youth,      :   3x
Turtle:     :   3x
THAT'S      :   3x
mine        :   3x
OF          :   3x
other:      :   3x
hope        :   3x
Five,       :   3x
box         :   3x
tarts,      :   3x
show        :   3x
hunting     :   3x
choked      :   3x
curiosity.  :   3x
right,'     :   3x
liked       :   3x
certainly,' :   3x
settled     :   3x
larger,     :   3x
angrily,    :   3x
miles       :   3x
grunted     :   3x
next.       :   3x
ME,'        :   3x
let's       :   3x
crossed     :   3x
`Thank      :   3x
Would       :   3x
bowed       :   3x
Dinah,      :   3x
asking      :   3x
met         :   3x
larger      :   3x
moving      :   3x
replied;    :   3x
was,'       :   3x
high,       :   3x
`Please     :   3x
less        :   3x
HE          :   3x
sleepy      :   3x
lobsters,   :   3x
Rabbit's    :   3x
please,     :   3x
pointing    :   3x
suit        :   3x
smaller,    :   3x
whiting     :   3x
e--e--evening,:   3x
Panther     :   3x
eggs,       :   3x
they'd      :   3x
run         :   3x
legs        :   3x
sea.        :   3x
silence     :   3x
Dodo,       :   3x
child       :   3x
added,      :   3x
dream       :   3x
considered  :   3x
`Which      :   3x
croquet     :   3x
nibbling    :   3x
proper      :   3x
Duchess!    :   3x
difficulty  :   3x
needn't     :   3x
Bill!       :   3x
WHAT?'      :   3x
away,       :   3x
did,        :   3x
immediately :   3x
tucked      :   3x
`Have       :   3x
nursing     :   3x
high.       :   3x
Lory,       :   3x
MUST        :   3x
wood.       :   3x
Alice!      :   3x
that.'      :   3x
obliged     :   3x
speaking,   :   3x
sing        :   3x
yet,        :   3x
brought     :   3x
general     :   3x
`Nothing    :   3x
cry         :   3x
all,        :   3x
bringing    :   3x
succeeded   :   3x
now!'       :   3x
that:       :   3x
eager       :   3x
grin,       :   3x
wrote       :   3x
Duchess's   :   3x
trial's     :   3x
decided     :   3x
indignantly.:   3x
before,'    :   3x
sounds      :   3x
above       :   3x
one,'       :   3x
mice        :   3x
sound       :   3x
gloves,     :   3x
Beautiful,  :   3x
nose,       :   3x
stop        :   3x
be,'        :   3x
Her         :   3x
twinkling   :   3x
`so         :   3x
managed     :   3x
appeared,   :   3x
indeed      :   3x
funny       :   3x
`Very       :   3x
grave       :   3x
severely    :   3x
